model,forecast_target,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
naive_last,relative_return,0,1,0,0.0,0.01633143424987793,-0.01633143424987793,0.01633143424987793,0.0002667157446580859
naive_last,relative_return,0,2,1,0.0,0.018822669982910156,-0.018822669982910156,0.018822669982910156,0.000354292905285547
naive_last,relative_return,0,3,2,0.0,-0.06071227788925171,0.06071227788925171,0.06071227788925171,0.003685980686501722
naive_last,relative_return,0,4,3,0.0,-0.12982100248336792,0.12982100248336792,0.12982100248336792,0.01685349268578662
naive_last,relative_return,0,5,4,0.0,-0.09909576177597046,0.09909576177597046,0.09909576177597046,0.009819970001959888
naive_last,relative_return,1,1,1,0.0,-0.01372385025024414,0.01372385025024414,0.01372385025024414,0.00018834406569112616
naive_last,relative_return,1,2,2,0.0,0.17093408107757568,-0.17093408107757568,0.17093408107757568,0.029218460073835217
naive_last,relative_return,1,3,3,0.0,0.1017000675201416,-0.1017000675201416,0.1017000675201416,0.01034290373360136
naive_last,relative_return,1,4,4,0.0,0.13611221313476562,-0.13611221313476562,0.13611221313476562,0.018526534564443864
naive_last,relative_return,1,5,5,0.0,0.1338590383529663,-0.1338590383529663,0.1338590383529663,0.017918242148780905
naive_last,relative_return,2,1,2,0.0,0.013458609580993652,-0.013458609580993652,0.013458609580993652,0.00018113417185361413
naive_last,relative_return,2,2,3,0.0,-0.056182801723480225,0.056182801723480225,0.056182801723480225,0.0031565072094998925
naive_last,relative_return,2,3,4,0.0,-0.08328068256378174,0.08328068256378174,0.08328068256378174,0.00693567208828938
naive_last,relative_return,2,4,5,0.0,-0.12464994192123413,0.12464994192123413,0.12464994192123413,0.015537608020967042
naive_last,relative_return,2,5,6,0.0,-0.10676544904708862,0.10676544904708862,0.10676544904708862,0.011398861110226477
naive_last,relative_return,3,1,3,0.0,0.03862881660461426,-0.03862881660461426,0.03862881660461426,0.0014921854722729222
naive_last,relative_return,3,2,4,0.0,0.07624638080596924,-0.07624638080596924,0.07624638080596924,0.005813510586008874
naive_last,relative_return,3,3,5,0.0,0.12256050109863281,-0.12256050109863281,0.12256050109863281,0.015021076429547975
naive_last,relative_return,3,4,6,0.0,0.09950459003448486,-0.09950459003448486,0.09950459003448486,0.009901163437930904
naive_last,relative_return,3,5,7,0.0,0.10243701934814453,-0.10243701934814453,0.10243701934814453,0.010493342932932137
naive_last,relative_return,4,1,4,0.0,-0.0009172558784484863,0.0009172558784484863,0.0009172558784484863,8.413583465483043e-07
naive_last,relative_return,4,2,5,0.0,0.023757100105285645,-0.023757100105285645,0.023757100105285645,0.0005643998054125632
naive_last,relative_return,4,3,6,0.0,0.05026602745056152,-0.05026602745056152,0.05026602745056152,0.0025266735156606046
naive_last,relative_return,4,4,7,0.0,0.044028639793395996,-0.044028639793395996,0.044028639793395996,0.0019385211220566134
naive_last,relative_return,4,5,8,0.0,0.041460275650024414,-0.041460275650024414,0.041460275650024414,0.0017189544569760074
naive_last,relative_return,5,1,5,0.0,0.031002283096313477,-0.031002283096313477,0.031002283096313477,0.0009611415571839643
naive_last,relative_return,5,2,6,0.0,0.03373265266418457,-0.03373265266418457,0.03373265266418457,0.0011378918557625184
naive_last,relative_return,5,3,7,0.0,0.02739119529724121,-0.02739119529724121,0.02739119529724121,0.000750277579811609
naive_last,relative_return,5,4,8,0.0,0.08331859111785889,-0.08331859111785889,0.08331859111785889,0.006941987625864954
naive_last,relative_return,5,5,9,0.0,0.14435434341430664,-0.14435434341430664,0.14435434341430664,0.020838176462575575
naive_last,relative_return,6,1,6,0.0,0.04163777828216553,-0.04163777828216553,0.04163777828216553,0.0017337045802747753
naive_last,relative_return,6,2,7,0.0,0.037712693214416504,-0.037712693214416504,0.037712693214416504,0.0014222472294846966
naive_last,relative_return,6,3,8,0.0,0.042099595069885254,-0.042099595069885254,0.042099595069885254,0.0017723759050483068
naive_last,relative_return,6,4,9,0.0,0.04340815544128418,-0.04340815544128418,0.04340815544128418,0.0018842679588146893
naive_last,relative_return,6,5,10,0.0,0.034249305725097656,-0.034249305725097656,0.034249305725097656,0.001173014942651207
naive_last,relative_return,7,1,7,0.0,-0.01919931173324585,0.01919931173324585,0.01919931173324585,0.00036861357103035175
naive_last,relative_return,7,2,8,0.0,-0.011534452438354492,0.011534452438354492,0.011534452438354492,0.0001330435930526619
naive_last,relative_return,7,3,9,0.0,-0.022994577884674072,0.022994577884674072,0.022994577884674072,0.0005287506120943419
naive_last,relative_return,7,4,10,0.0,0.008334517478942871,-0.008334517478942871,0.008334517478942871,6.946418160680423e-05
naive_last,relative_return,7,5,11,0.0,0.0031998157501220703,-0.0031998157501220703,0.0031998157501220703,1.0238820834729268e-05
naive_last,relative_return,8,1,8,0.0,0.03249025344848633,-0.03249025344848633,0.03249025344848633,0.0010556165691468777
naive_last,relative_return,8,2,9,0.0,0.002373814582824707,-0.002373814582824707,0.002373814582824707,5.634995673631238e-06
naive_last,relative_return,8,3,10,0.0,0.019063949584960938,-0.019063949584960938,0.019063949584960938,0.0003634341737779323
naive_last,relative_return,8,4,11,0.0,0.04754841327667236,-0.04754841327667236,0.04754841327667236,0.0022608516051292327
naive_last,relative_return,8,5,12,0.0,0.05274093151092529,-0.05274093151092529,0.05274093151092529,0.0027816058566401125
naive_last,relative_return,9,1,9,0.0,-0.013599157333374023,0.013599157333374023,0.013599157333374023,0.00018493708017786048
naive_last,relative_return,9,2,10,0.0,-0.0014092326164245605,0.0014092326164245605,0.0014092326164245605,1.9859365671948126e-06
naive_last,relative_return,9,3,11,0.0,0.005002856254577637,-0.005002856254577637,0.005002856254577637,2.502857070396658e-05
naive_last,relative_return,9,4,12,0.0,0.014374375343322754,-0.014374375343322754,0.014374375343322754,0.00020662266651072514
naive_last,relative_return,9,5,13,0.0,0.006412148475646973,-0.006412148475646973,0.006412148475646973,4.1115648073741795e-05
naive_last,relative_return,10,1,10,0.0,0.015192866325378418,-0.015192866325378418,0.015192866325378418,0.0002308231871808175
naive_last,relative_return,10,2,11,0.0,-0.00602114200592041,0.00602114200592041,0.00602114200592041,3.625415105545926e-05
naive_last,relative_return,10,3,12,0.0,0.013022422790527344,-0.013022422790527344,0.013022422790527344,0.00016958349533524597
naive_last,relative_return,10,4,13,0.0,0.00903165340423584,-0.00903165340423584,0.00903165340423584,8.157076321424483e-05
naive_last,relative_return,10,5,14,0.0,0.018553495407104492,-0.018553495407104492,0.018553495407104492,0.0003442321918214475
naive_last,relative_return,11,1,11,0.0,-0.011204242706298828,0.011204242706298828,0.011204242706298828,0.0001255350546216505
naive_last,relative_return,11,2,12,0.0,-0.009004652500152588,0.009004652500152588,0.009004652500152588,8.108376664850425e-05
naive_last,relative_return,11,3,13,0.0,0.016634583473205566,-0.016634583473205566,0.016634583473205566,0.00027670936732704376
naive_last,relative_return,11,4,14,0.0,0.060695648193359375,-0.060695648193359375,0.060695648193359375,0.003683961709612049
naive_last,relative_return,11,5,15,0.0,0.06557607650756836,-0.06557607650756836,0.06557607650756836,0.004300221810126459
naive_last,relative_return,12,1,12,0.0,0.017610549926757812,-0.017610549926757812,0.017610549926757812,0.0003101314687228296
naive_last,relative_return,12,2,13,0.0,0.01915884017944336,-0.01915884017944336,0.01915884017944336,0.00036706115702145325
naive_last,relative_return,12,3,14,0.0,-0.01109534502029419,0.01109534502029419,0.01109534502029419,0.00012310668111936707
naive_last,relative_return,12,4,15,0.0,0.014385223388671875,-0.014385223388671875,0.014385223388671875,0.00020693465194199234
naive_last,relative_return,12,5,16,0.0,0.02786731719970703,-0.02786731719970703,0.02786731719970703,0.0007765873679090873
naive_last,relative_return,13,1,13,0.0,-0.006903409957885742,0.006903409957885742,0.006903409957885742,4.7657069046636025e-05
naive_last,relative_return,13,2,14,0.0,0.004142165184020996,-0.004142165184020996,0.004142165184020996,1.7157532411715692e-05
naive_last,relative_return,13,3,15,0.0,0.02221667766571045,-0.02221667766571045,0.02221667766571045,0.0004935807665020775
naive_last,relative_return,13,4,16,0.0,0.029873251914978027,-0.029873251914978027,0.029873251914978027,0.0008924111799757384
naive_last,relative_return,13,5,17,0.0,0.035019516944885254,-0.035019516944885254,0.035019516944885254,0.0012263665670531054
naive_last,relative_return,14,1,14,0.0,-0.005153954029083252,0.005153954029083252,0.005153954029083252,2.6563242133903486e-05
naive_last,relative_return,14,2,15,0.0,0.035047292709350586,-0.035047292709350586,0.035047292709350586,0.0012283127262548987
naive_last,relative_return,14,3,16,0.0,0.03910982608795166,-0.03910982608795166,0.03910982608795166,0.0015295784966298243
naive_last,relative_return,14,4,17,0.0,0.048993468284606934,-0.048993468284606934,0.048993468284606934,0.0024003599345547855
naive_last,relative_return,14,5,18,0.0,0.04541599750518799,-0.04541599750518799,0.04541599750518799,0.0020626128293912416
naive_last,relative_return,15,1,15,0.0,-0.005974113941192627,0.005974113941192627,0.005974113941192627,3.56900373823521e-05
naive_last,relative_return,15,2,16,0.0,-0.031204700469970703,0.031204700469970703,0.031204700469970703,0.0009737333314205898
naive_last,relative_return,15,3,17,0.0,-0.00945425033569336,0.00945425033569336,0.00945425033569336,8.9382849409958e-05
naive_last,relative_return,15,4,18,0.0,0.0077141523361206055,-0.0077141523361206055,0.0077141523361206055,5.9508146264874995e-05
naive_last,relative_return,15,5,19,0.0,0.006322145462036133,-0.006322145462036133,0.006322145462036133,3.996952324314407e-05
naive_last,relative_return,16,1,16,0.0,0.01873195171356201,-0.01873195171356201,0.01873195171356201,0.0003508860149992188
naive_last,relative_return,16,2,17,0.0,0.011584997177124023,-0.011584997177124023,0.011584997177124023,0.0001342121595939716
naive_last,relative_return,16,3,18,0.0,0.03325653076171875,-0.03325653076171875,0.03325653076171875,0.0011059968383051455
naive_last,relative_return,16,4,19,0.0,0.025187253952026367,-0.025187253952026367,0.025187253952026367,0.0006343977616438679
naive_last,relative_return,16,5,20,0.0,0.0012680292129516602,-0.0012680292129516602,0.0012680292129516602,1.6078980848988067e-06
naive_last,relative_return,17,1,17,0.0,0.03615009784698486,-0.03615009784698486,0.03615009784698486,0.0013068295743465796
naive_last,relative_return,17,2,18,0.0,0.026134014129638672,-0.026134014129638672,0.026134014129638672,0.0006829866945281537
naive_last,relative_return,17,3,19,0.0,0.03281140327453613,-0.03281140327453613,0.03281140327453613,0.0010765881848442405
naive_last,relative_return,17,4,20,0.0,0.04058253765106201,-0.04058253765106201,0.04058253765106201,0.0016469423621998658
