method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.022322380257577323,0.011623986889210756,0.0330207736259439,0.5416666666666666,0.45,0.6333333333333333,5,15
Drift,2,0.04305662666937972,0.021447437437969296,0.06466581590079015,0.55,0.475,0.6333333333333334,5,15
Drift,3,0.056877856479640554,0.02836993011632833,0.0853857828429528,0.5333333333333333,0.45,0.6249999999999999,5,15
Drift,4,0.06047619161035657,0.031044750877278232,0.0899076323434349,0.6083333333333334,0.5583333333333333,0.6833333333333333,5,15
Drift,5,0.06088728473780307,0.035254331969299744,0.0853209426240705,0.5666666666666667,0.5,0.6416666666666667,5,15
GRU,1,0.023561152298481738,0.012669480369266298,0.03408054121270831,0.43888888888888883,0.41388888888888886,0.4722222222222222,5,15
GRU,2,0.0421330476111638,0.021366367532936886,0.06289972768939071,0.538888888888889,0.4777777777777777,0.6000000000000001,5,15
GRU,3,0.054509656260441776,0.027483534937871534,0.081535777583012,0.5472222222222223,0.5055555555555555,0.5888888888888889,5,15
GRU,4,0.057144211127982,0.029953509939523254,0.08433491231644076,0.5555555555555556,0.5027777777777779,0.6166666666666666,5,15
GRU,5,0.057540236615613846,0.03282142929291472,0.08225904393831299,0.4666666666666667,0.3888888888888889,0.5444444444444445,5,15
Mean-context,1,0.022347526090154654,0.011653252516055064,0.03304179966425425,0.5333333333333333,0.4416666666666667,0.625,5,15
Mean-context,2,0.043107841321142246,0.021568175400505617,0.06464750724177888,0.5583333333333333,0.4833333333333333,0.6333333333333334,5,15
Mean-context,3,0.05705087603729688,0.028711875059800142,0.08538987701479361,0.525,0.4333333333333333,0.6166666666666666,5,15
Mean-context,4,0.06056205451198328,0.0314335408891676,0.08969056813479898,0.6000000000000001,0.5333333333333334,0.6833333333333333,5,15
Mean-context,5,0.06101054172325704,0.0353835747840649,0.0866375086624492,0.575,0.5249999999999999,0.6416666666666668,5,15
Naive-last,1,0.022409080027256507,0.011735102712555076,0.03308305734195794,0.0,0.0,0.0,5,15
Naive-last,2,0.04319165187822733,0.02152498951396383,0.06485831424249083,0.008333333333333333,0.0,0.025,5,15
Naive-last,3,0.05694844090750691,0.028344827350077123,0.08555205446493672,0.0,0.0,0.0,5,15
Naive-last,4,0.061048455776149604,0.03150145136259632,0.09059546018970291,0.0,0.0,0.0,5,15
Naive-last,5,0.061712401890478254,0.036259202417601985,0.08716560136335454,0.008333333333333333,0.0,0.025,5,15
Shared-target JEPA--MAE,1,0.025510565751136343,0.0156806700124199,0.03504871931842858,0.5194444444444445,0.4583333333333333,0.5805555555555556,5,15
Shared-target JEPA--MAE,2,0.04329787278615,0.021838342001099447,0.06475740357120055,0.5277777777777778,0.46111111111111114,0.6111111111111109,5,15
Shared-target JEPA--MAE,3,0.05482567564223205,0.027569946943816127,0.08208140434064796,0.5222222222222223,0.48611111111111105,0.5555555555555556,5,15
Shared-target JEPA--MAE,4,0.05776263164368265,0.029980377607357,0.08577861584964215,0.5166666666666667,0.475,0.5611111111111111,5,15
Shared-target JEPA--MAE,5,0.05691978782795761,0.03234308448404689,0.08149649117186834,0.5138888888888888,0.4805555555555555,0.5472222222222223,5,15
