stock,seed,method,strategy,split,mse,mae,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file,raw_model,selected_bundle,included_in_canonical,exclusion_reason,metadata_sources
AAPL,46,Naive-last,local_long,test,0.015385018678011949,0.07890129026613736,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_60693eeb1956_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_104552,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_model_comparison_20260826_104552.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_baseline_scores_after_observation_20260826_104552.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_46/preprocessing_config.json
AAPL,46,Drift,local_long,test,0.016432615285101353,0.08249175611295197,0.5,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_60693eeb1956_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_104552,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_model_comparison_20260826_104552.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_baseline_scores_after_observation_20260826_104552.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_46/preprocessing_config.json
AAPL,46,Local-MAE/Long-JEPA,local_long,test,0.05438447375456189,0.189982817674938,0.4868421052631579,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_60693eeb1956_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_104552,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_model_comparison_20260826_104552.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_scores_after_observation_20260826_104552.csv,TS-JEPA,True,True,,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_46/preprocessing_config.json
AAPL,46,GRU,local_long,test,0.10973454191688424,0.25945781218378167,0.5263157894736842,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_60693eeb1956_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_104552,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_model_comparison_20260826_104552.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_gru_scores_after_observation_20260826_104552.csv,GRU,True,False,alternate strategy-specific GRU; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_46/preprocessing_config.json
AAPL,46,Mean-context,local_long,test,0.11103246924423953,0.2851187825202942,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_60693eeb1956_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_104552,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_model_comparison_20260826_104552.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_46/last_baseline_scores_after_observation_20260826_104552.csv,mean_context,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_46/preprocessing_config.json
AAPL,48,Naive-last,local_long,test,0.015385018678011949,0.07890129026613736,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_33482d1f75b5_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105003,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_model_comparison_20260826_105003.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_baseline_scores_after_observation_20260826_105003.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_48/preprocessing_config.json
AAPL,48,Drift,local_long,test,0.016432615285101353,0.08249175611295197,0.5,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_33482d1f75b5_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105003,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_model_comparison_20260826_105003.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_baseline_scores_after_observation_20260826_105003.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_48/preprocessing_config.json
AAPL,48,Local-MAE/Long-JEPA,local_long,test,0.04640212803491475,0.16876313811854313,0.46710526315789475,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_33482d1f75b5_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105003,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_model_comparison_20260826_105003.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_scores_after_observation_20260826_105003.csv,TS-JEPA,True,True,,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_48/preprocessing_config.json
AAPL,48,Mean-context,local_long,test,0.11103246924423953,0.2851187825202942,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_33482d1f75b5_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105003,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_model_comparison_20260826_105003.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_baseline_scores_after_observation_20260826_105003.csv,mean_context,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_48/preprocessing_config.json
AAPL,48,GRU,local_long,test,0.1253772944659123,0.27484873846957564,0.5460526315789473,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_33482d1f75b5_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105003,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_model_comparison_20260826_105003.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_48/last_gru_scores_after_observation_20260826_105003.csv,GRU,True,False,alternate strategy-specific GRU; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_48/preprocessing_config.json
