stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,-7.519253330256698,3
AAPL,GRU,4.0030156369553,3
AAPL,Local-MAE/Long-JEPA,1.6669948707845712,3
AAPL,Mean-context,-9.921768306709316,3
AVGO,Drift,-1.6893485280459568,3
AVGO,GRU,4.278580090397849,3
AVGO,Local-MAE/Long-JEPA,4.778376546050313,3
AVGO,Mean-context,-1.7098156258744515,3
NVDA,Drift,-7.331949926519923,3
NVDA,GRU,6.5475723542491515,3
NVDA,Local-MAE/Long-JEPA,4.5232485906744175,3
NVDA,Mean-context,-8.506598378901204,3
TSLA,Drift,1.5111902738014578,3
TSLA,GRU,2.958732903597678,3
TSLA,Local-MAE/Long-JEPA,2.7766142631667194,3
TSLA,Mean-context,1.4894238734204597,3
WMT,Drift,4.383804289655466,3
WMT,GRU,15.23933100279625,3
WMT,Local-MAE/Long-JEPA,9.783116513398323,3
WMT,Mean-context,3.47321254224922,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
