stock,seed,method,strategy,split,mse,mae,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file,raw_model,selected_bundle,included_in_canonical,exclusion_reason,metadata_sources
AVGO,42,Naive-last,local_long,test,0.00301088671668516,0.03984621198553788,0.0,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_f8254eb4c4d8_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_112829,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_baseline_scores_after_observation_20260825_112829.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/preprocessing_config.json
AVGO,42,Drift,local_long,test,0.003206176350828088,0.040613234099490865,0.5723684210526315,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_f8254eb4c4d8_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_112829,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_baseline_scores_after_observation_20260825_112829.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/preprocessing_config.json
AVGO,42,GRU,local_long,test,0.003785284815658133,0.04912275838616647,0.47368421052631576,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_f8254eb4c4d8_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_112829,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_gru_scores_after_observation_20260825_112829.csv,GRU,True,False,alternate strategy-specific GRU; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/preprocessing_config.json
AVGO,42,Local-MAE/Long-JEPA,local_long,test,0.0083082650167264,0.06809514982527808,0.506578947368421,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_f8254eb4c4d8_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_112829,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_scores_after_observation_20260825_112829.csv,TS-JEPA,True,True,,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/preprocessing_config.json
AVGO,42,Mean-context,local_long,test,0.03377415824343458,0.15762535544896597,0.0,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_f8254eb4c4d8_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_112829,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_model_comparison_20260825_112829.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/last_baseline_scores_after_observation_20260825_112829.csv,mean_context,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_42/preprocessing_config.json
AVGO,46,Naive-last,local_long,test,0.00301088671668516,0.03984621198553788,0.0,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_b95def81af91_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_113249,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_baseline_scores_after_observation_20260825_113249.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/preprocessing_config.json
AVGO,46,Drift,local_long,test,0.003206176350828088,0.040613234099490865,0.5723684210526315,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_b95def81af91_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_113249,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_baseline_scores_after_observation_20260825_113249.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/preprocessing_config.json
AVGO,46,GRU,local_long,test,0.0034868187883314934,0.045792493782937524,0.5,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_b95def81af91_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_113249,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_gru_scores_after_observation_20260825_113248.csv,GRU,True,False,alternate strategy-specific GRU; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/preprocessing_config.json
AVGO,46,Local-MAE/Long-JEPA,local_long,test,0.004411612573080321,0.050584395906250725,0.4473684210526316,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_b95def81af91_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_113249,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_scores_after_observation_20260825_113248.csv,TS-JEPA,True,True,,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/preprocessing_config.json
AVGO,46,Mean-context,local_long,test,0.03377415824343458,0.15762535544896597,0.0,5,./logs/output_model/AVGO/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_0.5_lmae_1.5_mae_1_gap_4_jepa_4_cfg_b95def81af91_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,0574650739836f4c963d,a3fa44c72d77dc5b,a3fa44c72d77dc5b,20260825_113249,ec9b2701bcc2bf149eb9db36c8e6db9589eeabd3,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_model_comparison_20260825_113249.csv,results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/last_baseline_scores_after_observation_20260825_113249.csv,mean_context,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_with_sentiment_jepa_lam_1_mae_lam_4.json;results/top10_with_sentiment_jepa_lam_1_mae_lam_4/local_long/AVGO/seed_46/preprocessing_config.json
