method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.02284631011130344,0.011823248795983982,0.0338693714266229,0.4916666666666666,0.4416666666666666,0.5583333333333333,5,15
Drift,2,0.04501983267040301,0.022622110250375537,0.06741755509043049,0.5166666666666666,0.4333333333333333,0.6,5,15
Drift,3,0.05946327322449112,0.03058102893165397,0.08834551751732826,0.5333333333333334,0.45,0.5833333333333334,5,15
Drift,4,0.06409972066190829,0.0336728331340104,0.09452660818980615,0.5083333333333333,0.4333333333333334,0.5916666666666666,5,15
Drift,5,0.06499635502706852,0.03772406354177613,0.0922686465123609,0.5583333333333333,0.4916666666666666,0.6249999999999999,5,15
GRU,1,0.022588732084692635,0.012271707592500132,0.03290575657688513,0.4805555555555555,0.4444444444444445,0.5333333333333334,5,15
GRU,2,0.04265863404704564,0.0212445017463243,0.06407276634776699,0.5111111111111111,0.4583333333333333,0.575,5,15
GRU,3,0.05511131310658433,0.027198975220619592,0.08302365099254908,0.5138888888888888,0.42777777777777776,0.5972222222222221,5,15
GRU,4,0.05838711606890899,0.02967771713922121,0.0870965149985968,0.5055555555555555,0.48611111111111116,0.525,5,15
GRU,5,0.05868319745830566,0.033786703439433075,0.08357969147717824,0.49722222222222223,0.4166666666666667,0.5638888888888889,5,15
Local-MAE/Long-JEPA,1,0.02514047992737047,0.01414525529137794,0.036135704563363,0.5305555555555556,0.5,0.5555555555555556,5,15
Local-MAE/Long-JEPA,2,0.04333582224896175,0.023852722146853633,0.06281892235106987,0.48888888888888893,0.45555555555555555,0.5194444444444444,5,15
Local-MAE/Long-JEPA,3,0.055173863834700444,0.029969875508916933,0.08037785216048395,0.5277777777777779,0.5027777777777778,0.5527777777777777,5,15
Local-MAE/Long-JEPA,4,0.056413113791461765,0.030752119153765235,0.08319642909067068,0.5166666666666666,0.46944444444444444,0.5722222222222222,5,15
Local-MAE/Long-JEPA,5,0.05861524021829399,0.03391857657553034,0.08331190386105766,0.4833333333333333,0.43888888888888894,0.5361111111111112,5,15
Mean-context,1,0.022895614607150356,0.011852268821659814,0.03393896039264089,0.4916666666666666,0.4,0.575,5,15
Mean-context,2,0.045176448508458256,0.02270177016629747,0.06765112685061905,0.5166666666666666,0.4583333333333333,0.575,5,15
Mean-context,3,0.05980308928469737,0.030864185252559805,0.08874199331683494,0.5333333333333333,0.4083333333333334,0.6166666666666667,5,15
Mean-context,4,0.06436337151197516,0.0339429371164164,0.09478380590753391,0.5083333333333333,0.45,0.575,5,15
Mean-context,5,0.06547981572151637,0.03811611455881454,0.09284351688421819,0.5416666666666666,0.4833333333333333,0.6166666666666666,5,15
Naive-last,1,0.022409080027256507,0.011735102712555076,0.03308305734195794,0.0,0.0,0.0,5,15
Naive-last,2,0.04319165187822733,0.02152498951396383,0.06485831424249083,0.008333333333333333,0.0,0.025,5,15
Naive-last,3,0.05694844090750691,0.028344827350077123,0.08555205446493672,0.0,0.0,0.0,5,15
Naive-last,4,0.061048455776149604,0.03150145136259632,0.09059546018970291,0.0,0.0,0.0,5,15
Naive-last,5,0.061712401890478254,0.036259202417601985,0.08716560136335454,0.008333333333333333,0.0,0.025,5,15
