stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.02236704014236411,0.0006477415643491201,0.5499999999999999,0.03004626062886655,3,3
AAPL,GRU,0.021330762684226956,0.00016352195439020813,0.5527777777777777,0.012729376930432926,3,3
AAPL,Naive-last,0.02222024246465654,0.0,0.008333333333333333,0.0,3,3
AAPL,Drift,0.02389103878617134,0.0,0.575,0.0,3,3
AAPL,Mean-context,0.024424883439188794,0.0,0.575,0.0,3,3
AVGO,Shared-target JEPA--MAE,0.06838835747342421,0.0011559115635438148,0.5388888888888889,0.02545875386086576,3,3
AVGO,GRU,0.06888735459056179,0.00021636811356982757,0.525,0.01666666666666669,3,3
AVGO,Naive-last,0.07196649888354975,0.0,0.0,0.0,3,3
AVGO,Drift,0.07318226387312521,0.0,0.4666666666666666,0.0,3,3
AVGO,Mean-context,0.07319699332685545,0.0,0.49166666666666664,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.05550305427847193,0.00046152282479146474,0.5222222222222223,0.029265704869035434,3,3
NVDA,GRU,0.053826760011896096,0.0008453740584044209,0.5472222222222222,0.012729376930432898,3,3
NVDA,Naive-last,0.05759803288999258,0.0,0.0,0.0,3,3
NVDA,Drift,0.06182109182014731,0.0,0.4666666666666666,0.0,3,3
NVDA,Mean-context,0.06249766622209168,0.0,0.48333333333333334,0.0,3,3
TSLA,Shared-target JEPA--MAE,0.08322946901520449,0.0010315609149648232,0.5111111111111112,0.033678765702728194,3,3
TSLA,GRU,0.0850424747673169,0.0009619415763257582,0.5388888888888889,0.06684005230842201,3,3
TSLA,Naive-last,0.08763537133417103,0.0,0.0,0.0,3,3
TSLA,Drift,0.08631103412615924,0.0,0.5916666666666667,0.0,3,3
TSLA,Mean-context,0.08633010919195921,0.0,0.575,0.0,3,3
WMT,Shared-target JEPA--MAE,0.017150225818119844,0.0007143177074667789,0.5277777777777778,0.09941961204540715,3,3
WMT,GRU,0.015483624832884296,0.0006526295242629122,0.5222222222222223,0.012729376930432959,3,3
WMT,Naive-last,0.018267464162411342,0.0,0.008333333333333333,0.0,3,3
WMT,Drift,0.01746665428484828,0.0,0.6083333333333333,0.0,3,3
WMT,Mean-context,0.01763299630597159,0.0,0.6083333333333333,0.0,3,3
