forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
relative_return,0,1,30,2025-01-02T00:00:00,-0.021392034366726875,True
relative_return,0,2,31,2025-01-03T00:00:00,-0.026421787217259407,True
relative_return,0,3,32,2025-01-06T00:00:00,-0.019078241661190987,True
relative_return,0,4,33,2025-01-07T00:00:00,-0.02885974943637848,True
relative_return,0,5,34,2025-01-08T00:00:00,-0.04241599515080452,True
relative_return,1,1,35,2025-01-10T00:00:00,0.009978516027331352,True
relative_return,1,2,36,2025-01-13T00:00:00,0.009364776313304901,True
relative_return,1,3,37,2025-01-14T00:00:00,0.036758922040462494,True
relative_return,1,4,38,2025-01-15T00:00:00,0.030087046325206757,True
relative_return,1,5,39,2025-01-16T00:00:00,0.030450740829110146,True
relative_return,2,1,40,2025-01-17T00:00:00,-0.007466282695531845,True
relative_return,2,2,41,2025-01-21T00:00:00,-0.0007248297333717346,True
relative_return,2,3,42,2025-01-22T00:00:00,-0.006248069927096367,True
relative_return,2,4,43,2025-01-23T00:00:00,-0.013538934290409088,True
relative_return,2,5,44,2025-01-24T00:00:00,-0.014333456754684448,True
relative_return,3,1,45,2025-01-27T00:00:00,0.0028889961540699005,True
relative_return,3,2,46,2025-01-28T00:00:00,0.011296346783638,True
relative_return,3,3,47,2025-01-29T00:00:00,0.014805370941758156,True
relative_return,3,4,48,2025-01-30T00:00:00,0.012466289103031158,True
relative_return,3,5,49,2025-01-31T00:00:00,0.016409220173954964,True
relative_return,4,1,50,2025-02-03T00:00:00,0.0037166476249694824,True
relative_return,4,2,51,2025-02-04T00:00:00,0.01706153154373169,True
relative_return,4,3,52,2025-02-05T00:00:00,0.011343002319335938,True
relative_return,4,4,53,2025-02-06T00:00:00,0.00879088044166565,True
relative_return,4,5,54,2025-02-07T00:00:00,0.011730663478374481,True
relative_return,5,1,55,2025-02-10T00:00:00,0.00028098560869693756,True
relative_return,5,2,56,2025-02-11T00:00:00,0.015294000506401062,True
relative_return,5,3,57,2025-02-12T00:00:00,-0.0016661174595355988,True
relative_return,5,4,58,2025-02-13T00:00:00,-0.010916531085968018,True
relative_return,5,5,59,2025-02-14T00:00:00,-0.02058747038245201,True
relative_return,6,1,60,2025-02-18T00:00:00,-0.009737690910696983,True
relative_return,6,2,61,2025-02-19T00:00:00,-0.00979643315076828,True
relative_return,6,3,62,2025-02-20T00:00:00,-0.009804027155041695,True
relative_return,6,4,63,2025-02-21T00:00:00,-0.017154812812805176,True
relative_return,6,5,64,2025-02-24T00:00:00,-0.017801892012357712,True
relative_return,7,1,65,2025-02-25T00:00:00,-0.001215919852256775,True
relative_return,7,2,66,2025-02-26T00:00:00,0.002917744219303131,True
relative_return,7,3,67,2025-02-27T00:00:00,-0.0005445405840873718,True
relative_return,7,4,68,2025-02-28T00:00:00,-0.00779995322227478,True
relative_return,7,5,69,2025-03-03T00:00:00,-0.008977292105555534,True
relative_return,8,1,70,2025-03-04T00:00:00,0.01821567863225937,True
